1423	http://www.stat-nba.com/player/1423.html	A	阿尔弗莱德里克-休斯	Alfredrick Hughes	1962-07-19 00:00:00	伊利诺伊州芝加哥	Robeson in Chicago, Illinois	Loyola University of Chicago	前锋-后卫	1.96	98	6	1985年第1轮第14顺位被选中
144	http://www.stat-nba.com/player/144.html	A	安德鲁-拜纳姆	Andrew Bynum	1987-10-27 00:00:00	新泽西州平原市	Saint Joseph in Metuchen, New Jersey	暂无信息	中锋	2.13	129	17,21	2005年第1轮第10顺位被选中
1441	http://www.stat-nba.com/player/1441.html	A	阿兰-休斯顿	Allan Houston	1971-04-20 00:00:00	肯塔基州路易斯维尔	Ballard in Louisville, Kentucky	University of Tennessee	后卫	1.98	91	20	1993年第1轮第11顺位被选中
1451	http://www.stat-nba.com/player/1451.html	A	艾尔-霍福德	Al Horford	1986-06-03 00:00:00	多明尼加共和国普拉塔港	Grand Ledge in Grand Ledge, Michigan	University of Florida	中锋	2.08	111	15,42	2007年第1轮第3顺位被选中
1467	http://www.stat-nba.com/player/1467.html	A	A.W. Holt	A.W. Holt	1946-08-26 00:00:00	暂无信息	暂无信息	Jackson State University	前锋	2.01	95	6	非选秀球员
1495	http://www.stat-nba.com/player/1495.html	A	阿特-希尔豪斯	Art Hillhouse	1916-06-12 00:00:00	暂无信息	暂无信息	Long Island University	中锋	2.01	100	18	非选秀球员
1504	http://www.stat-nba.com/player/1504.html	A	阿尔蒙德-希尔	Armond Hill	1953-03-31 00:00:00	纽约布鲁克林	Bishop Ford in Brooklyn, New York	Princeton University	后卫	1.93	86	22,24	1976年第1轮第9顺位被选中
1519	http://www.stat-nba.com/player/1519.html	A	阿特-海曼	Art Heyman	1941-06-24 00:00:00	纽约纽约	Oceanside in Oceanside, New York	Duke University	前锋-后卫	1.96	93	4,12,21,32,35,40	1963年第1轮第1顺位被选中
153	http://www.stat-nba.com/player/153.html	A	拉素尔-巴特勒	Al Butler	1938-07-09 00:00:00	纽约罗切斯特	East in Rochester, New York	Niagara University	后卫	1.88	79	3,20,22	1961年第2轮第8顺位被选中
1538	http://www.stat-nba.com/player/1538.html	A	艾尔-亨利	Al Henry	1949-02-09 00:00:00	暂无信息	Hamilton in Memphis, Tennessee	University of Wisconsin	中锋	2.06	86	26	1970年第1轮第12顺位被选中
1551	http://www.stat-nba.com/player/1551.html	A	阿兰-亨德森	Alan Henderson	1972-12-02 00:00:00	印第安纳州印第安纳波利斯	Brebeuf Jesuit in Indianapolis, Indiana	Indiana University	前锋	2.06	107	44,50	1995年第1轮第16顺位被选中
1554	http://www.stat-nba.com/player/1554.html	A	阿尔文-赫格	Alvin Heggs	1967-12-12 00:00:00	佛罗里达州杰克逊维尔	Andrew Jackson in Jacksonville, Florida	University of Texas at Austin	前锋	2.03	102	55	非选秀球员
1591	http://www.stat-nba.com/player/1591.html	A	安东尼奥-哈维	Antonio Harvey	1970-07-06 00:00:00	密西西比州帕斯卡古拉	Pascagoula in Pascagoula, Mississippi	Pfeiffer University	前锋-中锋	2.11	102	4,24,34,40	非选秀球员
1607	http://www.stat-nba.com/player/1607.html	A	阿特-哈里斯	Art Harris	1947-01-13 00:00:00	暂无信息	Jordan in Los Angeles, California	Stanford University	后卫	1.93	84	12,23	1968年第2轮第2顺位被选中
1610	http://www.stat-nba.com/player/1610.html	A	艾尔-哈灵顿	Al Harrington	1980-02-17 00:00:00	新泽西州奥兰治	Saint Patrick in Elizabeth, New Jersey	暂无信息	前锋	2.06	104	3,7,25,32	1998年第1轮第25顺位被选中
1611	http://www.stat-nba.com/player/1611.html	A	亚当-哈灵顿	Adam Harrington	1980-07-05 00:00:00	马萨诸塞Bernardston的	Pioneer Valley Regional in Bernardston, Massachusetts	Auburn University	后卫	1.96	91	21	非选秀球员
162	http://www.stat-nba.com/player/162.html	A	阿特-贝尔雷斯	Art Burris	1924-04-07 00:00:00	暂无信息	暂无信息	University of Tennessee	前锋	1.96	100	12,15	非选秀球员
1625	http://www.stat-nba.com/player/1625.html	A	阿兰-哈迪	Alan Hardy	1957-05-25 00:00:00	密歇根州底特律	Northwestern in Detroit, Michigan	University of Michigan	前锋	2.01	88	24,25	非选秀球员
1630	http://www.stat-nba.com/player/1630.html	A	安芬尼-哈达威	Anfernee Hardaway	1971-07-18 00:00:00	田纳西州孟菲斯	Treadwell in Memphis, Tennessee	University of Memphis	后卫-前锋	2.01	88	1,7	1993年第1轮第3顺位被选中
1641	http://www.stat-nba.com/player/1641.html	A	艾利克斯-汉纳姆	Alex Hannum	1923-07-19 00:00:00	加州洛杉矶	Alexander Hamilton in Los Angeles, California	University of Southern California	前锋-中锋	2.01	95	4,6,10,11,18,20,33	非选秀球员
1675	http://www.stat-nba.com/player/1675.html	A	艾尔-海尔斯顿	Al Hairston	1945-12-11 00:00:00	暂无信息	Mount Clemens in Mount Clemens, Michigan	Bowling Green State University	后卫	1.85	77	25	1968年第5轮第2顺位被选中
1687	http://www.stat-nba.com/player/1687.html	A	阿伦-艾弗森	Allen Iverson	1975-06-07 00:00:00	弗吉尼亚州汉普顿	Bethel in Hampton, Virginia	Georgetown University	后卫	1.83	75	1,3 [3]在退役	1996年第1轮第1顺位被选中
170	http://www.stat-nba.com/player/170.html	A	安东尼奥-伯克斯	Antonio Burks	1980-02-25 00:00:00	田纳西州孟菲斯	Booker T. Washington in Memphis, Tennessee	University of Memphis	后卫	1.85	91	1	2004年第2轮第7顺位被选中
1701	http://www.stat-nba.com/player/1701.html	A	安德烈-伊格达拉	Andre Iguodala	1984-01-28 00:00:00	伊利诺伊州斯普林菲尔德	Lanphier in Springfield, Illinois	University of Arizona	后卫-前锋	1.98	94	4,9	2004年第1轮第9顺位被选中
171	http://www.stat-nba.com/player/171.html	A	亚历克-伯克斯	Alec Burks	1991-07-20 00:00:00	密苏里州正佳	Grandview in Grandview, Missouri	University of Colorado	后卫	1.98	96	10	2011年第1轮第12顺位被选中
1722	http://www.stat-nba.com/player/1722.html	A	阿多尼斯-乔丹	Adonis Jordan	1970-08-21 00:00:00	纽约布鲁克林	Cleveland in Los Angeles, California	University of Kansas	后卫	1.8	77	1,11	1993年第2轮第15顺位被选中
1765	http://www.stat-nba.com/player/1765.html	A	阿斯吉亚-琼斯	Askia Jones	1971-12-03 00:00:00	宾夕法尼亚州费城	Marshall in San Antonio, Texas	Kansas State University	后卫	1.96	91	2	非选秀球员
1766	http://www.stat-nba.com/player/1766.html	A	安东尼-琼斯	Anthony Jones	1962-09-13 00:00:00	华盛顿哥伦比亚特区	Dunbar in Washington, District of Columbia	University of Nevada, Las Vegas	后卫-前锋	1.98	88	11,21,22,44	1986年第1轮第21顺位被选中
1767	http://www.stat-nba.com/player/1767.html	A	埃尔文-琼斯	Alvin Jones	1978-09-09 00:00:00	卢森堡	Kathleen in Lakeland, Florida	Georgia Institute of Technology	前锋	2.11	120	0	2001年第2轮第28顺位被选中
1823	http://www.stat-nba.com/player/1823.html	A	艾弗里-约翰逊	Avery Johnson	1965-03-25 00:00:00	路易斯安那州新奥尔良	Saint Augustine in New Orleans, Louisiana	Southern University and A&M College	后卫	1.78	79	5,6,15 [6]在退役	非选秀球员
1824	http://www.stat-nba.com/player/1824.html	A	阿尔尼-约翰逊	Arnie Johnson	1920-05-17 00:00:00	明尼苏达Gonvick	暂无信息	Bemidji State University	前锋-中锋	1.96	107	12,17	非选秀球员
1825	http://www.stat-nba.com/player/1825.html	A	阿蒙-约翰逊	Armon Johnson	1989-02-23 00:00:00	伊利诺伊州芝加哥	Hug in Reno, Nevada	University of Nevada, Reno	后卫	1.91	88	1,7	2010年第2轮第4顺位被选中
1829	http://www.stat-nba.com/player/1829.html	A	安迪-约翰逊	Andy Johnson	1932-11-08 00:00:00	加州洛杉矶	North Hollywood in North Hollywood, California	University of Portland	前锋-后卫	1.96	98	12	非选秀球员
1830	http://www.stat-nba.com/player/1830.html	A	阿米尔-约翰逊	Amir Johnson	1987-05-01 00:00:00	加州洛杉矶	Westchester in Los Angeles, California	暂无信息	前锋	2.06	113	5,15,25,90	2005年第2轮第26顺位被选中
1831	http://www.stat-nba.com/player/1831.html	A	亚历山大-约翰逊	Alexander Johnson	1983-02-08 00:00:00	乔治亚州奥尔巴尼	Dougherty Comprehensive in Albany, Georgia	Florida State University	前锋	2.06	109	13,32	2006年第2轮第15顺位被选中
1846	http://www.stat-nba.com/player/1846.html	A	艾尔-杰弗森	Al Jefferson	1985-01-04 00:00:00	密西西比州蒙蒂塞洛	Prentiss in Prentiss, Mississippi	暂无信息	前锋	2.08	131	7,8,25	2004年第1轮第15顺位被选中
1849	http://www.stat-nba.com/player/1849.html	A	阿卜杜尔-吉拉尼	Abdul Jeelani	1954-02-10 00:00:00	田纳西州贝尔斯	Washington Park in Racine, Wisconsin	University of Wisconsin-Parkside	前锋-中锋	2.03	95	11	非选秀球员
1859	http://www.stat-nba.com/player/1859.html	A	安托万-贾米森	Antawn Jamison	1976-06-12 00:00:00	路易斯安那州什里夫波特	Providence in Charlotte, North Carolina	University of North Carolina	前锋	2.03	101	4,7,33	1998年第1轮第4顺位被选中
1868	http://www.stat-nba.com/player/1868.html	A	阿隆-詹姆斯	Aaron James	1952-10-05 00:00:00	路易斯安那州新奥尔良	Walter Cohen in New Orleans, Louisiana	Grambling State University	前锋	2.03	95	23	1974年第2轮第10顺位被选中
1898	http://www.stat-nba.com/player/1898.html	A	艾尔-杰克逊	Al Jackson	1943-07-29 00:00:00	俄亥俄州克利夫兰	Benedictine in Cleveland, Ohio	Wilberforce University	后卫	1.85	84	11	非选秀球员
1925	http://www.stat-nba.com/player/1925.html	A	阿尔维德-克拉默	Arvid Kramer	1956-10-02 00:00:00	明尼苏达州富尔达	Fulda in Fulda, Minnesota	Augustana College (SD)	中锋	2.06	100	41	1979年第3轮第1顺位被选中
1930	http://www.stat-nba.com/player/1930.html	A	安迪-科斯特卡	Andy Kostecka	1921-02-10 00:00:00	暂无信息	Bloomfield in Bloomfield, New Jersey	Georgetown University	前锋	1.91	92	70	非选秀球员
1969	http://www.stat-nba.com/player/1969.html	A	安德烈-基里连科	Andrei Kirilenko	1981-02-18 00:00:00	俄罗斯伊热夫斯克	Frunzenskaya Sport School in Saint Petersburg, Russian Federation	暂无信息	前锋	2.06	100	47	1999年第1轮第24顺位被选中
1987	http://www.stat-nba.com/player/1987.html	A	艾尔波特-金	Albert King	1959-12-17 00:00:00	纽约布鲁克林	Fort Hamilton in Brooklyn, New York	University of Maryland	前锋-后卫	1.98	86	15,17,55	1981年第1轮第10顺位被选中
