139	http://www.stat-nba.com/coach/139.html	C	克里斯-詹特	Chris Jent	1970-01-11 00:00:00	Orange, California	Sparta in Sparta, New Jersey	Ohio State University	1年 1支球队 0次进入季后赛	18场 5胜13负 胜率27.8%	0场	0次	0个	暂无信息
14	http://www.stat-nba.com/coach/14.html	B	鲍勃-巴斯	Bob Bass	1929-01-28 00:00:00	暂无信息	暂无信息	Oklahoma Baptist University	3年 1支球队 2次进入季后赛	111场 60胜51负 胜率54.1%	6场 1胜5负 胜率16.7%	0次	0个	暂无信息
140	http://www.stat-nba.com/coach/140.html	D	戴夫-乔格尔	Dave Joerger	1974-02-21 00:00:00	暂无信息	暂无信息	Minnesota State University Moorhead	5年 2支球队 3次进入季后赛	410场 206胜204负 胜率50.2%	22场 9胜13负 胜率40.9%	0次	0个	暂无信息
141	http://www.stat-nba.com/coach/141.html	A	艾弗里-约翰逊	Avery Johnson	1965-03-25 00:00:00	New Orleans, Louisiana	Saint Augustine in New Orleans, Louisiana	Southern University and A&M College	7年 3支球队 4次进入季后赛	440场 254胜186负 胜率57.7%	47场 23胜24负 胜率48.9%	1次	0个	1次 (05-06赛季)
142	http://www.stat-nba.com/coach/142.html	D	丹尼斯-约翰逊	Dennis Johnson	1954-09-18 00:00:00	San Pedro, California	Dominguez in Compton, California	Pepperdine University	1年 1支球队 0次进入季后赛	24场 8胜16负 胜率33.3%	0场	0次	0个	暂无信息
143	http://www.stat-nba.com/coach/143.html	F	弗兰克-约翰逊	Frank Johnson	1958-11-23 00:00:00	Weirsdale, Florida	Lake Weir in Summerfield, Florida	Wake Forest University	3年 1支球队 1次进入季后赛	134场 63胜71负 胜率47.0%	6场 2胜4负 胜率33.3%	0次	0个	暂无信息
144	http://www.stat-nba.com/coach/144.html	M	埃尔文-约翰逊	Magic Johnson	1959-08-14 00:00:00	Lansing, Michigan	Everett in Lansing, Michigan	Michigan State University	1年 1支球队 0次进入季后赛	16场 5胜11负 胜率31.3%	0场	0次	0个	暂无信息
145	http://www.stat-nba.com/coach/145.html	P	Phil Johnson	Phil Johnson		暂无信息	暂无信息	暂无信息	9年 4支球队 2次进入季后赛	543场 236胜307负 胜率43.5%	9场 2胜7负 胜率22.2%	0次	0个	1次 (74-75赛季)
146	http://www.stat-nba.com/coach/146.html	N	尼尔-约翰斯顿	Neil Johnston	1929-02-04 00:00:00	Chillicothe, Ohio	Chillicothe in Chillicothe, Ohio	Ohio State University	2年 1支球队 2次进入季后赛	154场 95胜59负 胜率61.7%	12场 4胜8负 胜率33.3%	0次	0个	暂无信息
147	http://www.stat-nba.com/coach/147.html	K	K-C-琼斯	K.C. Jones	1932-05-25 00:00:00	Taylor, Texas	Commerce in San Francisco, California	University of San Francisco	10年 4支球队 9次进入季后赛	774场 522胜252负 胜率67.4%	138场 81胜57负 胜率58.7%	5次	2个	暂无信息
148	http://www.stat-nba.com/coach/148.html	W	Wally Jones	Wally Jones		暂无信息	暂无信息	暂无信息	1年 1支球队 1次进入季后赛	12场 7胜5负 胜率58.3%	3场 1胜2负 胜率33.3%	0次	0个	暂无信息
